frame,id,x,y,w,h
91,3,1000,196,50,50
91,4,991,364,62,62
92,1,648,187,63,63
92,2,843,180,68,68
92,3,999,197,51,51
92,4,990,345,54,54
93,1,647,189,62,62
93,2,839,176,71,71
93,3,998,199,50,50
93,4,989,347,54,54
94,1,642,188,66,66
94,2,835,174,74,74
94,3,996,200,51,51
94,4,989,347,54,54
95,1,640,186,66,66
95,2,835,174,70,70
95,3,996,202,50,50
95,4,989,347,54,54
96,1,637,187,64,64
96,2,832,172,72,72
96,3,995,204,50,50
96,4,989,347,54,54
97,1,635,185,65,65
97,2,830,170,72,72
97,3,994,205,50,50
97,4,989,347,54,54
98,1,633,184,64,64
98,2,827,169,73,73
98,3,993,205,50,50
98,4,989,347,54,54
99,1,632,183,65,65
99,2,828,168,71,71
99,3,993,205,50,50
99,4,989,347,54,54
100,1,629,181,65,65
100,2,826,166,72,72
100,3,992,206,50,50
100,4,989,347,54,54
101,1,628,179,65,65
101,2,826,166,70,70
101,3,991,205,50,50
101,4,989,347,54,54
102,1,623,174,72,72
102,2,825,164,72,72
102,3,991,204,50,50
102,4,989,347,54,54
103,1,625,176,66,66
103,2,825,165,69,69
103,3,990,204,50,50
103,4,989,347,54,54
104,1,619,170,74,74
104,2,825,165,69,69
104,3,990,203,50,50
105,1,625,173,67,67
105,2,824,164,70,70
105,3,989,201,50,50
106,1,621,171,71,71
106,2,822,162,72,72
106,3,989,201,50,50
107,1,621,171,72,72
107,2,823,164,70,70
107,3,989,200,50,50
108,1,615,167,78,78
108,2,822,164,70,70
108,3,989,199,50,50
109,1,617,168,76,76
109,2,822,164,71,71
109,3,989,199,50,50
110,1,613,167,80,80
110,2,821,166,70,70
110,3,989,198,50,50
111,1,619,172,73,73
111,2,822,167,70,70
111,3,989,198,50,50
112,1,624,176,66,66
112,2,821,168,72,72
112,3,989,198,51,51
113,1,609,169,85,85
113,2,822,170,70,70
113,3,989,198,50,50
114,1,625,180,65,65
114,2,820,170,73,73
114,3,990,199,50,50
115,1,617,176,77,77
115,2,822,174,70,70
115,3,989,200,51,51
116,1,623,182,70,70
116,2,821,174,74,74
116,3,990,201,50,50
117,1,621,180,73,73
117,2,824,177,70,70
117,3,990,202,50,50
118,1,624,182,69,69
118,2,825,178,71,71
118,3,991,204,50,50
118,5,77,109,50,50
119,1,619,179,80,80
119,2,826,179,71,71
119,3,992,204,50,50
119,5,77,109,50,50
120,1,624,181,75,75
120,2,829,180,70,70
120,3,992,204,50,50
120,5,77,109,50,50
121,1,621,178,81,81
121,2,829,179,75,75
121,3,993,204,50,50
121,5,77,109,50,50
122,1,627,181,74,74
122,2,832,179,73,73
122,3,993,204,50,50
122,5,77,109,50,50
123,1,629,180,72,72
123,2,833,178,73,73
123,3,994,203,50,50
123,5,77,109,50,50
124,1,628,177,75,75
124,2,836,177,72,72
124,3,995,202,50,50
124,5,77,109,50,50
125,1,629,175,75,75
125,2,838,174,74,74
125,3,994,200,51,51
125,5,77,109,50,50
126,1,634,178,68,68
126,2,839,174,73,73
126,3,995,199,50,50
126,5,77,109,50,50
127,1,627,169,81,81
127,2,843,172,71,71
127,3,995,197,51,51
127,5,77,109,50,50
128,1,634,174,70,70
128,2,841,168,78,78
128,3,995,196,50,50
128,5,77,109,50,50
129,1,630,168,75,75
129,2,845,170,71,71
129,3,995,194,50,50
129,6,980,344,59,59
129,7,978,365,58,58
130,1,631,168,75,75
130,2,845,168,73,73
130,3,995,192,51,51
130,6,980,344,59,59
130,7,978,365,58,58
131,1,633,169,73,73
131,2,847,167,71,71
131,3,995,191,51,51
131,6,980,344,59,59
131,7,978,365,58,58
132,1,630,165,78,78
132,2,848,167,70,70
132,3,994,190,51,51
132,6,980,344,59,59
132,7,978,365,58,58
133,1,633,168,72,72
133,2,848,166,70,70
133,3,995,189,50,50
133,6,980,344,59,59
133,7,978,365,58,58
134,1,630,166,75,75
134,2,847,165,71,71
134,3,995,188,51,51
134,6,980,344,59,59
134,7,978,365,58,58
135,1,630,166,75,75
135,2,850,167,67,67
135,3,995,188,51,51
135,6,980,344,59,59
135,7,978,365,58,58
136,1,626,165,80,80
136,2,848,165,70,70
136,3,994,189,51,51
136,6,980,344,59,59
136,7,978,365,58,58
137,1,625,165,81,81
137,2,847,164,70,70
137,3,994,189,52,52
137,6,980,344,59,59
137,7,978,365,58,58
138,1,622,164,87,87
138,2,846,163,72,72
138,3,994,191,50,50
138,6,980,344,59,59
